,Visual,Somatomotor,Dorsal_Attention,Ventral_Attention,Limbic,Frontoparietal,Default
0,-0.10641699492448299,-0.1783337406457836,-0.07897243538656377,0.07187412438071002,0.1309299971552516,0.35503007522710434,0.223231272895203
1,-0.1300192748488573,-0.041698265942191254,-0.15446760420978453,0.0011735516223511148,0.22911367668545748,-0.06139353179520739,-0.002367356200740186
2,-0.14265170270743785,-0.033163908623066576,0.0653628715460178,-0.011672643029831864,0.08977614365278484,0.32428240254886054,-0.024296136084853183
3,-0.20409253723033238,0.02853404705478604,-0.09188214014696915,-0.09040496638052962,0.12240676488332203,0.04007683407341484,0.12976414159727512
4,-0.02297063030914386,-0.12157088118336327,-0.06924547676571122,-0.03967588138467317,0.432927789396371,-0.040552070146875126,-0.0644603678773272
5,-0.11315200222455693,-0.11184075840841332,0.024489454526419343,0.06388633142355424,0.22759778594287186,0.3799161847330916,-0.07034018751487427
6,-0.23971175085244695,-0.06151630054107285,0.049691550740198896,0.0640183542770969,0.027066039358764428,0.05980513780062209,0.1131842325255766
7,-0.09303379760888252,-0.053123041130058675,-0.10087182870162655,-0.0925583149550566,0.3383548197127668,0.030079175914053652,-0.03642663834638671
8,0.07237095453121978,-0.07096825592642497,0.04662453014653054,-0.09774293299253999,-0.2821779855752028,0.267074970194608,0.012237912027367237
9,-0.1899300881224979,-0.04824108524318864,0.10107023882580939,0.00755260167355483,0.1240697910980377,0.16239144352877452,0.006505287744441439
10,-0.14039571392587252,-0.061643218803978876,0.1632434776402384,0.08201564671783644,0.02720309382115034,0.3270871238568125,-0.03229946838581134
